

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.016  000.016: --- NVIM STARTING ---
000.134  000.118: event init
000.227  000.093: early init
000.291  000.063: locale set
000.316  000.026: init first window
000.620  000.303: inits 1
000.631  000.011: window checked
000.634  000.004: parsing arguments
001.090  000.067  000.067: require('vim.shared')
001.197  000.045  000.045: require('vim._meta')
001.199  000.105  000.060: require('vim._editor')
001.200  000.197  000.025: require('vim._init_packages')
001.201  000.370: init lua interpreter
001.246  000.044: expanding arguments
001.298  000.053: inits 2
001.512  000.214: init highlight
001.513  000.001: waiting for UI
002.433  000.919: done waiting for UI
002.444  000.011: init screen for UI
002.574  000.131: init default mappings
002.583  000.009: init default autocommands
002.677  000.094: --cmd commands
004.990  000.049  000.049: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/ftplugin.vim
005.393  000.044  000.044: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/indent.vim
039.040  033.040  033.040: require('impatient')
039.194  000.043  000.043: require('telescope._extensions')
039.198  000.121  000.078: require('telescope')
039.495  000.049  000.049: require('plenary.bit')
039.566  000.067  000.067: require('plenary.functional')
039.605  000.024  000.024: require('ffi')
039.623  000.253  000.112: require('plenary.path')
039.632  000.357  000.104: require('plenary.strings')
039.742  000.108  000.108: require('telescope.deprecated')
040.069  000.138  000.138: require('plenary.log')
040.092  000.228  000.090: require('telescope.log')
040.799  000.601  000.601: require('plenary.job')
040.868  000.066  000.066: require('telescope.state')
040.874  000.780  000.114: require('telescope.utils')
040.880  001.133  000.126: require('telescope.sorters')
040.922  000.030  000.030: require('vim.inspect')
041.121  000.004  000.004: require('vim.F')
042.295  003.096  001.463: require('telescope.config')
043.496  000.090  000.090: require('indent_blankline/utils')
043.502  000.240  000.151: require('indent_blankline')
044.119  000.159  000.159: require('null-ls.methods')
044.138  000.249  000.090: require('null-ls.utils')
044.363  000.223  000.223: require('vim.diagnostic')
044.374  000.546  000.074: require('null-ls.config')
044.464  000.045  000.045: require('null-ls.helpers.cache')
044.564  000.097  000.097: require('null-ls.helpers.diagnostics')
044.618  000.051  000.051: require('null-ls.helpers.formatter_factory')
044.767  000.057  000.057: require('null-ls.logger')
044.843  000.068  000.068: require('null-ls.state')
044.847  000.226  000.101: require('null-ls.helpers.generator_factory')
044.982  000.055  000.055: require('null-ls.helpers.command_resolver')
044.986  000.137  000.082: require('null-ls.helpers.make_builtin')
045.057  000.070  000.070: require('null-ls.helpers.range_formatting_args_factory')
045.060  000.685  000.057: require('null-ls.helpers')
045.155  000.044  000.044: require('null-ls.diagnostics')
045.163  000.101  000.057: require('null-ls.sources')
045.203  000.037  000.037: require('null-ls.builtins')
045.205  001.450  000.081: require('null-ls')
045.346  000.137  000.137: require('null-ls.builtins.formatting.stylua')
045.500  000.150  000.150: require('null-ls.builtins.formatting.rustfmt')
045.610  000.107  000.107: require('null-ls.builtins.formatting.prettier')
